,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentDanger,HouleDanger,Ligne_Frioul-Vieux Port,Ligne_IF-Frioul,Ligne_IF-Vieux Port,Ligne_Vieux Port-Frioul,Ligne_Vieux Port-IF,Annulation
30896,11.0,0.8,1.5,5.0,2,23.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30897,11.0,0.8,1.5,5.0,2,23.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30898,11.0,0.8,1.5,5.0,2,23.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30899,13.0,0.8,1.4,5.0,2,26.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30900,12.0,0.7,1.2,5.0,2,25.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30901,12.0,0.7,1.3,5.0,2,22.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30902,12.0,0.7,1.3,5.0,2,22.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30903,12.0,0.8,1.4,4.0,2,24.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30904,9.0,0.8,1.3,4.0,2,21.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30905,9.0,0.8,1.3,4.0,2,21.0,20,1,0,0.0,0.0,0.0,1.0,0.0,0
30906,9.0,0.8,1.4,4.0,2,20.0,45,1,0,1.0,0.0,0.0,0.0,0.0,0
30907,9.0,0.8,1.3,4.0,2,20.0,85,1,0,0.0,0.0,0.0,1.0,0.0,0
30908,9.0,0.7,1.0,4.0,2,20.0,110,1,0,1.0,0.0,0.0,0.0,0.0,0
30909,10.0,0.8,1.4,5.0,2,17.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30910,10.0,0.9,1.4,5.0,2,17.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30911,10.0,1.0,1.6,5.0,2,18.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30912,9.0,0.9,1.4,5.0,2,17.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30913,9.0,1.0,1.6,5.0,2,19.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30914,9.0,0.8,1.4,5.0,2,20.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30915,5.0,0.9,1.6,5.0,2,19.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0
30916,5.0,0.8,1.3,5.0,2,20.0,0,1,0,0.0,1.0,0.0,0.0,0.0,0
30917,5.0,0.8,1.3,5.0,2,20.0,0,1,0,0.0,0.0,0.0,0.0,1.0,1
30918,5.0,0.8,1.3,5.0,2,20.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30919,11.0,0.8,1.3,5.0,2,21.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30920,11.0,0.8,1.3,5.0,2,21.0,0,1,0,0.0,1.0,0.0,0.0,0.0,1
30921,11.0,0.8,1.3,5.0,2,21.0,0,1,0,0.0,0.0,0.0,0.0,1.0,1
30922,11.0,0.8,1.3,5.0,2,21.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30923,6.0,0.8,1.3,5.0,2,21.0,0,1,0,0.0,0.0,0.0,0.0,1.0,1
30924,6.0,0.8,1.3,5.0,2,21.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30925,6.0,0.8,1.3,5.0,2,21.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30926,6.0,0.8,1.3,5.0,2,21.0,0,1,0,0.0,1.0,0.0,0.0,0.0,1
30927,6.0,0.8,1.3,5.0,2,21.0,0,1,0,0.0,1.0,0.0,0.0,0.0,1
30928,7.0,0.8,1.3,5.0,2,22.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30929,7.0,0.8,1.3,5.0,2,22.0,0,0,0,0.0,0.0,0.0,0.0,1.0,1
30930,7.0,0.8,1.3,5.0,2,22.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0
30931,7.0,0.8,1.3,5.0,2,22.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
30932,12.0,0.8,1.5,5.0,2,22.0,0,1,0,0.0,1.0,0.0,0.0,0.0,1
30933,12.0,0.8,1.5,5.0,2,22.0,0,1,0,0.0,0.0,0.0,0.0,1.0,1
30934,12.0,0.8,1.5,5.0,2,22.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30935,12.0,0.8,1.5,5.0,2,22.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30936,12.0,0.8,1.3,5.0,2,22.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30937,12.0,0.8,1.3,5.0,2,22.0,0,1,0,0.0,0.0,0.0,0.0,1.0,1
30938,12.0,0.8,1.3,5.0,2,22.0,0,1,0,0.0,1.0,0.0,0.0,0.0,1
30939,8.0,0.7,1.4,4.0,2,25.0,0,1,0,0.0,1.0,0.0,0.0,0.0,1
30940,8.0,0.7,1.4,4.0,2,25.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30941,8.0,0.7,1.4,4.0,2,25.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
30942,8.0,0.7,1.4,4.0,2,25.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30943,8.0,0.7,1.4,4.0,2,25.0,0,1,0,0.0,0.0,0.0,0.0,1.0,1
30944,13.0,0.8,1.3,4.0,2,22.0,0,1,0,0.0,1.0,0.0,0.0,0.0,1
30945,13.0,0.7,1.1,4.0,2,22.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0
30946,13.0,0.7,1.1,4.0,2,22.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0
