,VentNoeud,HouleDominante,HouleMax,HoulePeriode,Mer,Temperature,JourNuit,VentMistral,HouleMistral,Annulation
16238,4.0,0.9,1.6,6.0,2,10.0,0,1,0,0
16242,3.0,0.9,1.8,7.0,2,11.0,0,1,0,0
16244,2.0,1.0,1.6,7.0,2,11.0,0,1,0,0
16248,4.0,1.0,1.6,7.0,2,12.0,0,1,0,0
16251,4.0,1.0,1.6,7.0,2,14.0,0,1,0,0
16254,6.0,1.0,1.5,6.0,2,14.0,0,1,0,0
16258,6.0,1.0,1.9,7.0,2,15.0,0,1,0,0
16263,6.0,1.0,1.9,7.0,2,15.0,0,1,0,0
16319,4.0,0.5,0.9,5.0,1,10.0,0,0,0,0
16321,4.0,0.5,0.9,5.0,1,10.0,0,0,0,0
16325,3.0,0.5,1.1,5.0,1,12.0,0,0,0,0
16327,3.0,0.6,1.1,4.0,2,13.0,0,0,0,0
16331,4.0,0.7,1.2,4.0,2,14.0,0,0,0,0
16334,5.0,0.7,1.1,5.0,2,15.0,0,0,0,0
16337,8.0,0.7,1.2,4.0,2,17.0,0,0,0,0
16339,8.0,0.8,1.3,4.0,2,17.0,0,0,0,0
16343,10.0,0.8,1.3,4.0,2,17.0,0,0,0,0
16346,11.0,0.8,1.2,5.0,2,17.0,0,0,0,0
16349,11.0,0.7,1.2,5.0,2,16.0,0,0,0,0
16367,6.0,0.8,1.2,6.0,2,11.0,0,0,0,1
16369,9.0,0.7,1.1,6.0,2,12.0,0,0,0,1
16375,12.0,0.7,1.2,5.0,2,12.0,0,0,0,1
16377,12.0,0.7,1.2,5.0,2,12.0,0,0,0,1
16383,13.0,0.8,1.2,5.0,2,15.0,0,0,0,1
16387,13.0,0.8,1.4,5.0,2,16.0,0,0,0,1
16390,13.0,0.9,1.7,5.0,2,17.0,0,0,0,1
16394,13.0,1.0,2.0,5.0,2,18.0,0,0,0,1
16398,13.0,1.1,2.0,5.0,2,17.0,0,0,0,1
16402,13.0,0.9,1.5,5.0,2,16.0,0,0,0,1
16407,13.0,0.9,1.5,5.0,2,16.0,0,0,0,1
16425,16.0,1.1,1.8,6.0,2,12.0,0,0,0,1
16428,16.0,1.1,1.8,6.0,2,14.0,0,0,0,1
16433,17.0,1.1,1.9,6.0,2,16.0,0,0,0,1
16437,17.0,1.0,2.0,5.0,2,17.0,0,0,0,1
16440,17.0,1.1,1.6,5.0,2,18.0,0,0,0,1
16443,17.0,1.1,1.8,5.0,2,18.0,0,0,0,1
16449,17.0,1.1,1.7,5.0,2,18.0,0,0,0,1
16452,18.0,1.0,2.0,5.0,2,18.0,0,0,0,1
16455,18.0,1.0,1.7,5.0,2,18.0,0,0,0,1
16461,18.0,1.1,2.0,6.0,2,17.0,0,0,0,1
16465,18.0,1.0,1.8,5.0,2,17.0,0,0,0,1
16482,15.0,1.5,2.2,6.0,3,12.0,0,0,0,1
16485,16.0,1.5,2.3,6.0,3,13.0,0,0,0,1
16489,18.0,1.5,2.8,6.0,3,14.0,0,0,0,1
16494,15.0,1.6,2.3,7.0,3,16.0,0,0,0,1
16499,16.0,1.4,2.3,6.0,3,16.0,0,0,0,1
16503,17.0,1.4,2.3,6.0,3,16.0,0,0,0,1
16506,17.0,1.5,2.8,6.0,3,17.0,0,0,0,1
16511,17.0,1.6,2.5,7.0,3,17.0,0,0,0,1
16514,17.0,1.5,2.6,6.0,3,17.0,0,0,0,1
16518,17.0,1.6,2.9,6.0,3,16.0,0,0,0,1
16522,17.0,1.6,2.9,6.0,3,17.0,0,0,0,1
16541,17.0,1.0,1.6,5.0,2,15.0,0,0,0,1
16544,18.0,1.1,2.1,5.0,2,17.0,0,0,0,1
16549,17.0,1.1,1.8,5.0,2,17.0,0,0,0,1
16552,19.0,1.2,1.9,5.0,2,17.0,0,0,0,1
16556,18.0,1.2,1.9,5.0,2,17.0,0,0,0,1
16561,18.0,1.1,2.1,5.0,2,18.0,0,0,0,1
16563,18.0,1.2,2.1,5.0,2,18.0,0,0,0,1
16569,18.0,1.1,1.9,5.0,2,18.0,0,0,0,1
16573,18.0,1.1,1.9,5.0,2,18.0,0,0,0,1
16577,17.0,1.1,1.7,5.0,2,15.0,0,0,0,1
16581,17.0,1.0,1.6,5.0,2,17.0,0,0,0,1
16604,27.0,2.0,3.4,6.0,3,16.0,0,0,0,1
16606,28.0,2.0,3.3,6.0,3,17.0,0,0,0,1
16610,30.0,2.2,4.0,6.0,3,17.0,0,0,0,1
16612,30.0,2.2,4.3,6.0,3,17.0,0,0,0,1
16617,29.0,2.5,4.0,7.0,3,16.0,0,0,0,1
16620,30.0,2.4,4.5,7.0,3,16.0,0,0,0,1
16623,30.0,2.5,4.2,7.0,3,16.0,0,0,0,1
16627,29.0,2.4,5.3,7.0,3,14.0,0,0,0,1
16630,28.0,2.5,4.3,7.0,3,13.0,0,0,0,1
16633,18.0,2.5,4.7,7.0,3,13.0,0,0,0,1
16636,18.0,2.6,4.2,7.0,4,13.0,0,0,0,1
16680,10.0,0.9,1.6,4.0,2,11.0,0,0,0,1
16684,11.0,0.9,1.6,4.0,2,13.0,0,0,0,1
16688,12.0,0.9,1.7,4.0,2,14.0,0,0,0,1
16692,12.0,0.8,1.5,4.0,2,15.0,0,0,0,1
16696,12.0,0.9,1.4,4.0,2,14.0,0,0,0,1
16700,15.0,0.9,1.5,4.0,2,15.0,0,0,0,1
16716,6.0,0.8,1.4,5.0,2,12.0,0,0,0,1
16719,4.0,0.8,1.5,5.0,2,15.0,0,0,0,1
16724,5.0,0.7,1.2,5.0,2,15.0,0,1,0,1
16727,8.0,0.7,1.0,5.0,2,15.0,0,1,0,1
16732,7.0,0.7,1.4,5.0,2,15.0,0,1,0,1
16735,7.0,0.6,1.1,4.0,2,17.0,0,1,0,1
16751,6.0,0.8,1.4,5.0,2,10.0,0,1,0,1
16756,3.0,0.7,1.2,5.0,2,9.0,0,1,0,1
16759,5.0,0.7,1.1,5.0,2,10.0,0,0,0,1
